 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
'나체의 남자도 날 계속 쳐다본다'를 7자로?|전라남도 나주시
컴퓨터가 고장 났을 때 읊는 시는?|오륜가
나루토는 가위 사스케는 바위|사쿠란 보
옷을 입었는데 핏이 병신 같으면?|스튜핏
송해의 반대말은?|노래하지마
마리오가 동생에게 출산을 강요하면서 한 말은?|루이지애나
바닷가에서 철이 잘 녹스는 이유는?|파도가 철썩이니까
인간이 신이 되기 가장 쉬운 방법은?|시를 쓴다(시인)
스님이 구내염이 생기면?|중입병 (중2병)
S가 4개 있으면?|스포츠
암벽 등반할 때 가는 물건은?|핸드 타 월
오리가 넘어지면?|철푸덕
소, 개, 쥐가 같이 표기된 종이는?|소견서
가장 반가운 간호사는?|보너스
사우디 왕세자가 살만하다고 언급한 도시는?|빈 (빈 살만)
옛날 문서를 영어로?|google
두 명의 산타가 싸우면?|두산타워
숫자를 잘 못 세는 왕은?|세조
남자를 조용하게 만드는 한자는?|아들 자
옥수수가 춤을 추면?|콘덴싱
중세 시대의 무슬림이 기독교인을 발로 차면?|이단옆차기
스님이 종을 치면?|땡중, 중딩
왕의 아버지는?|부킹
와이프가 신발을 사 오면?|슈바이처 / 와신상담
일본에서 가장 맛있는 야채의 씨앗은?|오이씨
초밥이 이에 끼면?|ESC
시험 준비하는 대학생들이 토르와 같은 이유는?|벼락치고 망치니까
평화주의자가 쟁반 짜장을 시킬 때 하는 말?|전 쟁반 대
남자가 하늘을 날면?|멘붕
매가 싸우면?|워매
화가가 자기소개를 하면?|화가 나요
프랑스 축구 대표 팀 선수에게 식사 시간에 뭐 하는지 물었을 때 나온 대답은?|응밥해
양동이는 무엇으로 만들었을까?|양철.. 동의?
지하철에 귀신이 없는 이유는?|혼잡구역이라서
작곡가가 집안일을 하지 않는 이유는?|가사를 쓰기 때문
소방관이 정력이 좋은 이유는?|불끈 사람
말이 많은 채소는?|찬 호박
시장에서 뛰는 것을 다른 말로?|장거리달리기
별똥별이 죽은 이유는?|펜 때문에(유성사인펜)
한국이 유교의 종주국인 이유는?|전 공자라고 하는 사람이 많기 때문
옛날 시가 더 멋있는 이유는?|오랜 시 간지나서
코로나 시대에 이기적인 사람이 살아남는 이유는?|집 밖에 모르는 놈이라서
김정은이 방 청소를 했다|뉴클리어
태평양이 개소리를 하면?|아모레퍼시픽
가장 가소로운 채소는?|오이오이
배에 살찌면?|중부지방
햄버거가 울면 달래주기 힘든 이유는?|버거운 일이라서
음식점에 카레가 있는지 물었을 때 대답은?|카레이써
종으로 모형으로 만들면?|종이모형
연필이 노래를 부르면?|펜싱
존이 자기소개를 하면?|존나
감을 수확하면 안 되는 날은?|추수감사절
집을 판 사람들이 죽은 이유는?|주거버려서
이상한 사람들에게 필요한 차는?|치카치카
축구 해설자가 건강에 안 좋은 이유는?|해설하면서 골골거리기 때문
설날에 레이저를 쏘면?|설빔
항상 의심을 하면서 하는 게임은?|젠가
사과를 깎을 때 사각사각 소리가 나는 이유는?|사과가 아파서 사과악 사과악 소리지르니까
물맛이 제일 고소한 나라는?|콩고
지하 1층에 종이가 한 장 있으면?|B1A4
레닌과 낚시를 갔는데, 딴짓하는 레닌에게 할 말은?|안나 카레리나(안낚아 레리나?)
가장 오래된 아기는?|캄브리아기
가장 바쁜 떡은?|싼게 busy떡
한국에서 가장 낮은 산은?|출산
대결에서 참패하면?|확 진자
곰과 나의 관계는?|고멘나사이
박찬호 선수 발가락이 큰 이유는?|Too Much Toe 커 라서
플라스틱의 반대말은?|마이너스틱
고흐가 미술관에서 화를 낸 이유는?|화가 나니까
자물쇠의 성씨는?|잠씨(잠가놈)
벌판이 웃으면?|허허벌판
카우보이가 타는 차는?|소 나타
가장 부정적인 새는?|시조새
화투꾼들이 싸움을 잘하는 이유는?|맨날 맞고 치러 다니기 때문
어린아이들이 반대를 할 때 하는 말은?|아 이거 애 반대?
이빨이 다 빠진 예술가는?|다빈치
사람들이 음식 중에서 길이가 가장 길다고 생각하는 것은?|길 걸? 이 음식
기름을 장기 보관할 때 통을 뒤집어서 보관해야 하는 이유는?|유통기간이 5일(OIL)에서 710일로 늘어나기 때문
비염일 때 하는 공부는?|이 코놈이
횟집 가면 이쁜 애들한테만 맛있는 음식 주는 이유는?|사심이 들어가서
다른 회사에서 당신을 스카우트할 확률은?|OFFER
노 씨가 제일 좋아하는 바다 생물은?|게(노는 게 제일 좋아~)
마이더스가 출산을 앞둔 임산부를 만지면?|Goldman Sachs
지구에 모든 기생충을 박멸하는 돌은?|지구충돌
조카가 쌍둥이면 조카들의 이름은?|오천억카
이상하게 털 뽑는 사람을 보면서 하는 말은?|제 모하냐?
러시아 전쟁이 복잡한 이유는?|러시아워라서
아내에게 아이를 많이 낳자는 말을 일본어로?|도조 여러식구 오네가이시마스
늘 바쁜 사람이 아픈 곳은?|Hurry
얼어 죽기 싫은 사람들이 모여있는 장소는?|동사무소
이 아이들은 무엇일까?를 5자로?|먼데이키즈
수컷 말이 말을 못 하는 이유는?|암말도 못해서
가수가 한 남자를 들어 올리면?|He든singer
피곤한 사람에게 잠을 자라고 충고하는 나무는?|야! 자! 나무
자기소개를 가장 못하는 물고기는?|전....어......
대학 입시를 가장 많이 실패한 축구 선수는?|이천수
BTS 팬이 늦은 나이에 임신하면?|아미노산
물이 튀어서 물티슈 주면서 하는 말은?|물튓슈?
가장 향기로운 야채는?|양파(향기로 우니까)
어린아이가 외국에 일하면서 어학연수하러 가면?|앤디 워홀
뚱뚱한 사람 4명을 4자로?|내분비계
차가 놀라면?|앗 차가!
아이언맨을 대체할 히어로가 없는 이유는?|iron 사람 또 없습니다~
태양이 두 개가 되면 날씨가 시원해지는 이유는?|sunsun 해지니까
아름다운 거짓말은?|이 뻥
로스쿨이 거품인 이유는?|버블 가르치기 때문
개가 사람을 평가하면?|개인평가
복숭아를 천으로 싸면 복숭아 수가 많아지는 이유는?|천도 복숭아이기 때문
닭이 모이의 알갱이 크기가 작다고 불평할 때 하는 말은?|작당모의
오미자를 먹으면 잠이 오는 이유는?|뒤집으면 자미오니까
봉을 하마 양옆에 끼우면?|봉하마을
식기세척기를 쓰는 곳은?|디시 인사이드
"""나 혼자 산다""를 영어로?"|홀로 라이브
스파이더맨과 싸워서 이기는 방법은?|피터지게 싸우면 됨
식물이 밥을 안 먹는 이유는?|I'm full.
금요일 밤에 과음하면?|토토
옛날 중고등학생들이 제대로 걷지 못한 이유는?|두발 규제 때문
의사들이 가는 길은?|비탈(vital)길
2배로 좋으면?|뀼
루이 16세의 유언은?|제목없음
세상에서 가장 바쁜 직업은?|허겁지겁
말이 분노하면?|마리화나
크로뮴이 죽고 나트륨이 살면?|다이크로뮴산 나트륨
김밥이 터지면 무슨 죄일까?|기물파손
나이키 그리고?|몸무게
파일럿이 자기소개를 하면?|전기장
사람을 나태하게 하는 앱은?|네이트온(Nate on)
좀비 좋아하는 사람들이 역겨운 이유는?|좀 비호감이라서
와이프가 배탈이 나면?|각시 탈
뜨거운 밤을 2자로?|군밤
음식 썩는 것을 대비하는 보험은?|상해보험
미국 옥수수의 가격은?|콘센트
길을 잘 찾는 애벌레는?|아이나비
소녀가 아침에 글을 쓰면?|모닝글로리
10000이 이기라고 응원할 때 하는 말은?|만지지마
오렌지주스의 반대말은?|새로운 농노 하나
코를 2번 파면?|코코팜
물건 나를 때 봉고차를 쓰는 이유는?|다 다마쓰~
차에 치이기 전에 느끼는 감각은?|한기(앗 차가)
남자가 철이 들지 않는 이유는?|Male에는 Fe가 없기 때문
달이 심심할 때 하는 말은?|달리(이) 할 게 없네
개학 당일에 유난히 공부하기 싫은 이유는?|개학이싫기때문
숫자 3이 자기소개를 하면?|아이앰 9루트
서울대 의대생이 부딪히고 사과할 때 한 말은?|아임 설의
젊은 꼰대를 다른 말로?|리틀
뮤지컬이면서 뮤지컬이 아닌 것은?|AIDA
영국인들이 싸는 오줌은?|잉글리쉬
미국에서 TV 수리기사를 부르면?|이건 팁이야
신이 구운 빵은?|갓 구운 빵
아프리카에 가장 많이 진출한 기업은?|기아
밥 먹겠다는 말과 입을 닫으라는 말을 동시에 하면?|입닫아끼마스
전 부칠 때 무를 넣으면 안 되는 이유는?|무전유죄
말을 때리면 대마초가 되는 이유는?|말이 화나니까
1주일 먹을 음식을 5자로?|한주먹거리
팔이 잘린 상태를 2자로?|암컷
가장 양이 많은 라면은?|바다가 육지라면
퀸이 존경하는 한국 위인은?|이성계(위~화도~챔피언)
한국에서 가장 바쁜 배우는?|박보영
신이 죽으면 가는 지역은?|신주꾸
세상에서 가장 붉은 칼은?|칼 마르크스
절대 말을 하지 않는 형제는?|소리 없는 아우성
덜 자란 옥수수를 3자로?|아이콘
중고나라에 기생충들이 많은 이유는?|para site 라서
거짓말을 반복하는 사람을 일컫는 말은?|또 라이
첫째와 둘째 아들의 키가 크면?|자일리톨(子 1 2 tall)
김치가 가위바위보에서 바위를 냈는데 진 이유는?|묵은지기 때문
말 2마리와 소 3마리가 함께 있다는 가사가 있는 노래는?|보헤미안 랩소디(마마 우우우)
아버지가 늘 앉는 자리는?|가장자리
가는 대로 따라오는 것은?|그림자
벌을 본 코쟁이 외국인이 하는 말은?|아 씨이~ 벌~
조각을 다섯 번 말하면?|오피스텔
빌 게이츠가 노래를 부를 땐?|마이크로 소프트하게 부름
쓰레기를 먹을 때 내는 소리는?|오물오물
노인이 시험을 보면 안 되는 이유는?|틀리면 안 돼서
"""침대에 있는 여자는 무당이다""를 영어로?"|베드 걸 굿 걸
울수록 차가워지는 것은?|더울수록 시원한 맛 삼강 빠삐코
소말리아 원주민이 폰을 못 쓰는 이유는?|배터리 부족이어서
군대가 주둔할 수 없는 산은?|아미노산
모기가 나를 물어서 내가 모기를 쳐다보자 모기가 한 말은?|왱~
문신하면 무시할 수 없는 이유는?|문신 (무시에 밑에 ㄴㄴ받침)
무기 없이 맨몸으로 전쟁하면?|팔로워
여자는 맨몸 운동하면 안 되는 이유?|'우먼' 몸 운동해야 하기 때문
강의실에 교수님보다 나이 많은 남자가 없는 이유는?|교수님보다 나이 많은 남자는 교수형이라서
젊은이들에게 가장 쓴 시럽은?|청년시럽
가을에 벼를 수확하는 이유는?|날씨가 쌀쌀해서
나 대신에 감방에 들어간 사람을 4자로?|대역죄인
급식충을 높여 말하면?|진지충
일본인들이 키가 작은 이유는?|왜소하기 때문
왕보다 높은 사람이 되는 방법은?|왕위에 앉으면 됨
열역학 나라의 신하 a, b, c 중 반란을 일으킨 사람은?|b가역적
지하철이 광화문 밑을 지날 때 내는 소리는?|고궁 고궁
본인이 쓸데없이 고생하려고 하는 직업은?|도서관 사서(사서 고생함)
고래 인형을 3자로?|Doll고래
인벤을 상징하는 새의 이름은?|인벤토리
석기시대를 2번 겪으면?|투석기
아동학대범이 중고장터에 가서 하는 말은?|이 아이 패드 돼요?
수중생물 중에서 최고 존엄은?|갑오징어
신천지가 죄가 많은 이유는?|sin 천지이기 때문
안경이 들어가 있으면 안경집, 모래가 들어가 있으면?|닭똥집
어릴 때는 안 울고 어른이 돼서 우는 것은?|개구리
삼백에서 백을 빼면?|삼
오이 장수의 전화번호는?|5245245
세상에서 가장 거만한 나라는?|오만
숫자나라에 사는 강아지 이름은?|백구
음력 설날에만 사용하는 물은?|구정물
"""이것은 내 코가 아니다""를 영어로?"|이코노미
"""이것은 코다""를 3자로?"|디스코
주길래 받아서 이름까지 써 놓았더니 뺏어가는 것은?|시험지
집 지켜 주었는데 똥침을 찔리는 것은?|열쇠
차에 탄 오리의 옆에 앉은 사람이 안전벨트를 매 줄 때 오리가 한 말은?|꽉
집합을 영어로?|홈플러스
중국 당나라 때 벌어진 최대의 불매운동은?|안사의 난
자동차를 발효시키는 것은?|카이스트
아서왕이 참는 이유는?|아서라
신라면은 있는데 백제면, 고구려면은 없는 이유는?|당면이 들어오면서 멸망했기 때문
객관식 정답을 한 줄로 찍으면 안 되는 이유는?|정답을 고르게 하기 때문
임플란트가 옳은 이유는?|틀니는 틀리니까
국어사전을 사고 싶을 때 하는 말?|그거사죤
역사책을 살 때는 몇 개를 사나?|세계사
가장 멋있는 숫자는?|10이간지
류현진이 살고 있는 도시는?|리우(현지인)
쥐 둘에 곰 한 마리를 2자로?|GD(쥐둘에곰)
암소와 수소가 커플이면?|코뿔소
모든 화장실에 사람들이 다 볼일을 보고 있으면?|디카프리오
계란을 3개 구우면?|사무라이(3후라이)
칼을 먹었는데 맛있으면?|와까리마시따
밥 먹다가 입에 끼면?|바비킴
ABC와 D 사이가 멀면?|싸이먼디
돈 2억이 더 필요할 때 하는 말?|더콰이엇
철로 된 못을 망치로 때리는 것을 4자로?|샘오취리
나폴레옹이 알프스 산을 넘어가다가 쉬고 싶어서 의무병에게 한 말은?|나 아플래용
산모가 혼자서 산부인과에 가서 출산하고 온다며 한 말은?|아나콘다
내 차에서 코를 푼 러시아 사람은?|차에 코푼 시키
관객에게 박수로 호응을 유도하는 연예인은?|박수홍
웨이터가 제모하면?|터미네이터
죽은 오리가 기록된 것은?|다이어리
곰이 구르면?|곰문곰문곰문
높은 목소리로 인사하면?|고성방가
컵을 뒤집으면?|비커
더불어민주당의 반대말은?|싱글농민알쓰
이청용과 기성용을 이어주는 것은?|이을용
딱지치기를 하면 피곤한 이유는?|딱 지치기 좋은 놀이라서
대한민국 어린이들이 가장 좋아하는 기름은?|5월 5일
세균이 가장 많은 나라는?|Germ many
칼이 물은 못 베어도 음료수는 벨 수 있는 이유는?|칼로 음료수를 beverage
"""돈이 힘이다""를 3자로?"|부가세
시험을 늦게 푸는 이유는?|시험 시험 풀어서
결승에 진출한 한국인 축구 선수는?|이강인
해외 동물원을 3자로?|이국 주
물이 재채기하면?|액 체
